,name,count,label,class
0,Gretzky,53,hockey,
1,Blog Post,29,,
2,@fangraphs,15,baseball,
3,Clemens,15,baseball,retired
4,Ovechkin,13,hockey,
5,Patrick Roy,12,hockey,
6,Wayne Gretzky,13,hockey,
7,McDavid,11,hockey,
8,Mario Lemieux,11,hockey,
9,Jeter,11,baseball,retired
10,Jagr,10,hockey,
11,Mariano Rivera,10,baseball,retired
12,Johan,10,baseball,retired
13,Gordie Howe,10,hockey,
14,Bill,9,,
15,Roy,9,hockey,
16,Raines,9,baseball,retired
17,Rolen,9,baseball,retired
18,@billjamesonline,8,baseball,
19,Jacques Plante,8,hockey,
20,Ruth,8,baseball,retired
21,Tim Raines,7,baseball,retired
22,Bobby Orr,7,hockey,
23,Lemieux,6,hockey,
24,Crosby,6,hockey,
25,Jays,6,baseball,
26,Howe,6,hockey,
27,Wagner,6,,
28,Draisaitl,6,hockey,
29,@ChelseaParlett,6,,
30,Greinke,5,baseball,active
31,Ted Williams,5,baseball,retired
32,Plante,5,hockey,
33,Lidstrom,5,hockey,
34,Dennis Martinez,5,baseball,retired
35,Ohtani,5,baseball,active
36,Orr,5,hockey,
37,Castellanos,5,baseball,active
38,Batman,5,neither,
39,Keaton,5,neither,
40,Orel Hershiser,5,baseball,retired
41,Carpenter,5,baseball,retired
42,Pedro,5,baseball,retired
43,Marisnick,4,baseball,active
44,Guy Lafleur,4,hockey,
45,Cabrera,4,baseball,active
46,Stanton,4,baseball,active
47,Babe Ruth,4,baseball,retired
48,Koufax,4,baseball,retired
49,Lindsey,4,baseball,
50,Jones,4,,
52,Ortiz,4,baseball,retired
53,Randy Johnson,4,baseball,retired
54,Joe,4,,
55,Billy Wagner,4,baseball,retired
56,Johan Santana,4,baseball,retired
57,Schilling,4,baseball,retired
58,Hank,4,baseball,retired
59,Pettitte,4,baseball,retired
60,B. Spider-Man,4,neither,
61,Wheeler,4,baseball,active
62,Marchand,3,hockey,
63,Miguel,3,baseball,active
64,Mary,3,,
65,Bedard,3,hockey,
66,Ichiro,3,baseball,active
67,Barry Bonds,3,baseball,retired
68,Vlad,3,baseball,
69,Deniro,3,neither,
70,Larry Bird,3,neither,
71,Scott,3,,
72,Beltran,3,baseball,retired
73,AL,3,baseball,
74,Seinfeld,3,neither,
75,Ben,3,,
76,Jackie,3,baseball,retired
77,Lafleur,3,hockey,
78,Joker,3,neither,
79,Michael Jordan,3,neither,
80,Jordan,3,neither,
81,Arenado,3,baseball,active
83,Oswalt,3,baseball,retired
84,Betts,3,baseball,active
85,Rickey,3,baseball,retired
86,Sam,3,,
87,Nicholson,3,neither,
88,Hank Aaron,3,baseball,retired
89,Toews,3,hockey,
90,Mays,3,baseball,retired
91,Torts,3,,
92,Andre Dawson,3,baseball,retired
93,Dale Murphy,3,baseball,retired
94,David Cone,3,baseball,retired
