"","x"
"1","Pen, paper, and tie: the hat-trick for saying you are against analytics without saying you are against analytics. https://t.co/oaABB347IK"
"2","Terrific stuff from @_Ben_Clemens .

You can do what he did in a more robust fashion.  And you will lose 95% of your audience, only to get to almost the same answer.

When all you need is accuracy, forego precision and win the argument on presentation.

cc: @ChelseaParlett https://t.co/5JSySCADHd"
"3","A metric that rarely surprises is probably useless.
A metric that always surprises is probably wrong.
You want a metric to confirm what you know 80% of the time.

So, while it's expected that the league leader in OBP, SLG, wOBA would be from the Angels, did we think this? https://t.co/wbf92yt8j1 https://t.co/NNZOM5hhEV"
"4","@dmalcolmjr You might like this:

https://t.co/APUgKpR6QB"
"5","I love this.  

If you are myopic, you think this is silly, that you should temper your effort relative to the chance of winning at that moment.

If you are holistic, then you realize that it's about establishing behaviour down the road that has no downside in the moment. https://t.co/RxBwrW2gjM"
"6","Unlike Marchand himself https://t.co/k80XX2v7tt"
"7","@AlexanderRaine7 The fielder has to run back to catch the ball.  It's specifically at +/- 30 degrees behind him.  

Or in clock terms ""at his six, +/- one hour""."
"8","@jmsmorris @wyshynski Empty net, yes, but no stick throwing.  Go to the 2:45 mark.

""He got to 50 goals before anyone got to 30!""

https://t.co/gzEMqfSgvX"
"9","@wyshynski This is equivalent to a ""delayed penalty"" call.

If the goal is scored, this infraction is waived off.

If the goal is not scored, the referee has the option to automatically award a goal (which he would have done here).

With no goal scored/awarded, the ref would call a penalty."
"10","BTW, these charts look as impressive as they do because of @darenw.  To be able to put various star levels, the hit, the out, whether ball hit the wall or fielder had to run back, all on one chart, and readable, is amazing. That it looks so natural is really the genius of it. https://t.co/Oaa2MEvcIV"
"11","@MrNaturalSezz I exclude intentional pitches (I think anyway, I usually do)."
"12","Blog Post: Describing Catch Probability with illustrations https://t.co/UbLyQvyDbP"
"13","@TheJoelingDead On basehits, it's whoever had the higher Out Probability"
"14","@EricEsq503 Not at this time"
"15","8/8

... unlike batting, which is subject to enormous Random, catching a ball does not have that variation.  It's pure player-v-ball, much like free throw shooting. It takes very few opportunities (once you throw out the noise) to see fielding talent shine thru. Like Marisnick."
"16","7/8

And even in the 5-star region, he's an impressive 3 for 6.  (Remember Adell in the TWO star region is 2 for 6.)

So in the 2+ star regions, Marisnick is 10 for 13, while Adell is 2 for 11.

And ...
 https://t.co/U0yGcWZCmJ"
"17","6/8

The two-star region is 76-90% success rate, league-wide. 2 for 6 is terrible. Indeed, out of the 59 outfielders with at least 3 opportunities, Adell is last.

Marisnick has actually got every play in the 1-, 2-, 3-, and 4-star regions.  11 for 11.
https://t.co/xeFo5Hvrio https://t.co/2TjfIyDZvR"
"18","5/8

... the 2-star region, suddenly we see a huge difference.  Marisnick made all the plays, while Adell was 2 for 8.  One was going back, so those are actually tougher than 2-star plays as well as one is a wall-ball.  That still leaves him as 2 for 6."
"19","4/8

Now we get to the Opportunity Space, where you can consider each band to be ""1 star"", ""2 star""... ""5 star"" opportunities.    In the 1-star area, both Marisnick and Adell made all the plays.  While not gimmes, they also don't have as much value.

When we get to..."
"20","3/8

The large light green area means there was plenty of time, and/or little distance to cover. Lazy flyballs, or gimmes.  And as you can see by the orange dots (meaning outs), both of our fielders caught all the gimmes. These are also noise, and so, not an opportunity of skill."
"21","2/8

The large white area therefore is any combination of too far to cover and/or not enough time, for any human being.  ""Wasn't enough time, Michael, wasn't enough time.""  Any ball hit there is therefore unplayable and noise.  It's not an opportunity.

Similarly..."
"22","#Statcast How do we know Catch Probability works?  Let's look at current leader and trailer in OAA. I won't even tell you who is who. Let's just look at the data.

The bottom shows number of feet to cover from pitch release. The side shows number of seconds to ball landing. 1/8 https://t.co/3ZaW9RBSlF"
"23","Yeah, but taking a shot from the left side at the circle?  That quite unusu.... oh.

https://t.co/aGZWFfSYck https://t.co/1OZMHezbFZ https://t.co/dCo8rN2EKk"
"24","@Avalanche @DriveToyota ""Despite the odds... of a sweep""

https://t.co/tx3ajxFk6P"
"25","@joemadison89 @enosarris Since 2018"
"26","If you group the data in bins of six inches each, you get a clearer picture.

Plus the interesting points way on the inside. Those are potential hit by pitches!  The run value per 100 HBP is about 30-35,  so you can see about 30 inches from the center of the plate is an auto-HBP. https://t.co/3HBroGS5rc"
"27","@RichardRiegler That's a good way to look at it.   Since all the numbers are rounded, it's probably fair enough to say it's a ""4 baseball square"" (2x2)."
"28","#Statcast
Run Values per 100 pitches, by Plate Location
RHH view

Green box is the textbook strike zone

Red box is the 5x5 square area that the pitcher is trying to avoid

Purple box is outside strike zone, but beneficial to pitcher (mostly because batter swings too much) https://t.co/1ttQ9CSIAr"
"29","Kershaw didn't touch 92 today, and yet... https://t.co/jHEIYnd2sn"
"30","Source: https://t.co/7yya7sUgL3"
"31","11 teams started season under 15% chance of making playoffs. Total expected value just under 0.5 playoff berths among them

Each under 3% chance at moment. Total expected value just over 0.1 playoff berths among them

In other words: pre-season forecast too optimistic for the 11! https://t.co/8bPcwgp4FJ"
"32","How to be successful in business:

Path 1: Empower your employees to do what they love. While removing obstacles in their way.

Path 2: Go to college for 4 years, work for 20 years. Learn everything you can about human behaviour.  Then take Path 1."
"33","Among the 12 forwards with the most games, he was tied for 3rd.

Among the goals that qualify for +/-:
He was on the ice for 46 goals out of 180 for the Flyers, or 26%.  And 57 allowed out of 237 for Flyers, or 24%.

So, among Flyers forwards, he was better than his mates. https://t.co/Aavsl7dOF6"
"34","@Lucas_Haupt @BoogSciambi The seam data: no, not yet. I don't have a timeline for you there.

The movement data is on Savant.  Go to the player pages, and select ""Pitch Mix""."
"35","Early in Cubs broadcast, @BoogSciambi said Savant was wrong about 4-seam classification, Smyly in fact throws 2-seamer

While not pure 2-seamer, he is right: much closer to 2-seam than 4

More importantly though: it's 2-seamer that does not sink. Thrown like a 2, behaves like a 4 https://t.co/jw3zqrKi8H"
"36","@EJLantigua Not sure why it's only since 2019 on the site, we'll look into it"
"37","@EJLantigua So, it'll be an update of this, but we'll account of the environmental factors... https://t.co/IBD3JWsmAV"
"38","@EJLantigua Your timing is almost impeccable.  This is next in our pipeline for delivery on Savant.  Stay tuned!"
"39","#Statcast

This presentation shows most opportunities for fielders is noise. That's why pre-Statcast has been challenge for fielding metrics

Statcast tracks location of the fielder at pitch release and ball at landing, to establish the Opportunity Space

https://t.co/2fat5Be6Nb https://t.co/28sOq8W21b"
"40","#RightToVote

Canadian Charter of Rights and Freedoms: ""Every citizen of Canada has the right to vote in an election of members of the House of Commons or of a legislative assembly...""

US Constitution:  ""&lt;crickets&gt;""

US Bill of Rights: ""&lt;crickets&gt;"""
"41","Here are the leaders in HR.  All are above Aaron Judge, including, yes, Adam Duvall. https://t.co/oGvjv4THec"
"42","Since 2019, Byron Buxton has 51 HR, 134 runs scored, 122 RBI, and 9.8 WAR, on 760 PA.

Here's the leaders in @fangraphs WAR since that time, pro-rated to 760 PA.

https://t.co/KWnE2pmZoz https://t.co/h6vX3gnJEx"
